a,K,t,y
20,11.263580930492251,5.7626193724420185,1.0570460681204108
20,11.263580930492251,5.842655752614824,1.0435390265010647
20,11.263580930492251,5.92269213278763,1.0304549958089155
20,11.263580930492251,6.002728512960436,1.0178232504758282
20,11.263580930492251,6.082764893133242,1.005670164864714
20,11.263580930492251,6.162801273306048,0.9940192423218953
20,11.263580930492251,6.242837653478854,0.9828911533959778
20,11.263580930492251,6.32287403365166,0.9723037826902899
20,11.263580930492251,6.402910413824465,0.9622722838075636
20,11.263580930492251,6.482946793997271,0.9528091418394439
20,11.263580930492251,6.562983174170077,0.9439242428495933
20,11.263580930492251,6.6430195543428825,0.9356249497974922
20,11.263580930492251,6.723055934515688,0.9279161843504518
20,11.263580930492251,6.803092314688494,0.9208005140337575
20,11.263580930492251,6.8831286948613,0.9142782441731511
20,11.263580930492251,6.963165075034106,0.9083475140899542
20,11.263580930492251,7.043201455206912,0.9030043970169178
20,11.263580930492251,7.123237835379718,0.8982430032122601
20,11.263580930492251,7.203274215552524,0.8940555857602347
20,11.263580930492251,7.283310595725329,0.8904326485588236
20,11.263580930492251,7.363346975898135,0.8873630560087022
20,11.263580930492251,7.443383356070941,0.8848341439323446
20,11.263580930492251,7.5234197362437465,0.8828318312679403
20,11.263580930492251,7.603456116416552,0.8813407320995685
20,11.263580930492251,7.683492496589358,0.8803442676027182
20,11.263580930492251,7.763528876762164,0.8798247775026529
20,11.263580930492251,7.84356525693497,0.8797636306622008
20,11.263580930492251,7.923601637107776,0.8801413344352037
20,11.263580930492251,8.003638017280581,0.8809376424419733
20,11.263580930492251,8.083674397453388,0.8821316604436216
20,11.263580930492251,8.163710777626193,0.8837019500129211
20,11.263580930492251,8.243747157799,0.8856266297203513
20,11.263580930492251,8.323783537971805,0.8878834735751046
20,11.263580930492251,8.403819918144611,0.8904500064819725
20,11.263580930492251,8.483856298317416,0.8933035964961541
20,11.263580930492251,8.563892678490221,0.8964215436790052
20,11.263580930492251,8.643929058663028,0.8997811653785662
20,11.263580930492251,8.723965438835833,0.9033598777792421
20,11.263580930492251,8.80400181900864,0.9071352735852487
20,11.263580930492251,8.884038199181445,0.9110851957222798
20,11.263580930492251,8.964074579354252,0.915187806961272
20,11.263580930492251,9.044110959527057,0.9194216553870734
20,11.263580930492251,9.124147339699864,0.9237657356532089
20,11.263580930492251,9.204183719872669,0.9281995459817657
20,11.263580930492251,9.284220100045475,0.9327031408846113
20,11.263580930492251,9.36425648021828,0.9372571795987074
