a,K,zeta,wn,s3_real_pole,PO_formula,PO_actual,PO_abs_err,Ts_formula,Ts_actual,Ts_abs_err
15,20000,0.049512340098043374,141.3718178711226,-1.0007009465726513,85.57828495418825,85.70569065625249,0.1274057020642374,0.42859288719395333,0.42485248861076014,0.003740398583193194
16,20000,0.05305026461792373,141.3682760923111,-1.0007510894463638,84.62864873188842,84.76427446611301,0.13562573422458968,0.40002003005486125,0.38227403159569223,0.01774599845916902
17,20000,0.05658836655961798,141.3647338695417,-1.000801242375048,83.68897599847969,83.83272842974164,0.14375243126194448,0.37501878005862666,0.35965083697493866,0.015367943083687996
18,20000,0.06012664596984481,141.3611912026743,-1.0008514053624855,82.75913352457731,82.91084440906786,0.15171088449055503,0.3529588535918058,0.33800902354416557,0.014949830047640222
19,20000,0.06366510289534545,141.35764809156896,-1.0009015784124602,81.83899042539025,81.99856618140267,0.15957575601241558,0.33335003006616115,0.3346257564607989,0.001275726394637744
20,20000,0.067203737382883,141.35410453608463,-1.0009517615287575,80.9284181119692,81.09567681685354,0.1672587048843468,0.3158052932278248,0.3132654150459017,0.002539878181923083
21,20000,0.07074254947924277,141.3505605360812,-1.0010019547151663,80.02729024365163,80.20213791438071,0.17484767072907914,0.3000150300736999,0.29290127025865037,0.007113759815049525
22,20000,0.07428153923123224,141.34701609141783,-1.0010521579754763,79.13548268167095,79.31800602925509,0.18252334758413724,0.2857286015060425,0.2715391758542085,0.014189425651834009
23,20000,0.07782070668568082,141.34347120195412,-1.0011023713134797,78.25287344389729,78.44401609191547,0.19114264801818592,0.27274093917215286,0.2694207709634354,0.0033201682087174444
24,20000,0.08136005188944065,141.3399258675494,-1.0011525947329707,77.37934266067855,77.57893583340365,0.1995931727251019,0.2608826387806688,0.24961965875951458,0.011262980021154223
25,20000,0.08489957488938543,141.33638008806267,-1.001202828237747,76.51477253175194,76.72273293205456,0.20796040030261054,0.250012530088791,0.2479253378164837,0.0020871922723072756
26,20000,0.08843927573241143,141.33283386335336,-1.0012530718316062,75.65904728419574,75.87520512848913,0.21615784429339158,0.24001203009256608,0.22741481926725146,0.01259721082531462
27,20000,0.09197915446543695,141.3292871932803,-1.00130332551835,74.81205313139353,75.03630245874098,0.22424932734745084,0.2307807993271118,0.2258615879315348,0.0049192113955769945
28,20000,0.09551921113540264,141.32574007770265,-1.0013535893017809,73.97367823298315,74.20584834920987,0.232170116226726,0.22223336343345335,0.20633983854432666,0.01589352488912668
29,20000,0.09905944578927137,141.32219251647916,-1.0014038631857038,73.14381265576351,73.38377428833927,0.2399616325757563,0.21429645867532732,0.20549382770556485,0.00880263096976247
30,20000,0.10259985847402833,141.31864450946898,-1.0014541471739267,72.32234833553345,72.56993000276294,0.24758166722949682,0.2069069266594023,0.2043691930422335,0.0025377336171688025
31,20000,0.10614044923668084,141.31509605653065,-1.0015044412702578,71.5091790398374,71.76422760366863,0.2550485638312239,0.20001003011145888,0.20182472209876473,0.0018146919873058553
32,20000,0.1096812181242586,141.3115471575232,-1.00155474547851,70.70420033159378,70.96654366752159,0.26234333592780956,0.19355809463136944,0.18329080420937027,0.01026729042199917
33,20000,0.11322216518381371,141.3079978123048,-1.0016050598024966,69.90730953358198,70.17677017022554,0.2694606366435579,0.18750940511902323,0.18216127347937866,0.0053481316396445655
