a,K,pole_real,pole_imag,zeta_exact,zeta_approx,abs_error,pct_error_%
39,30000,-18.999365078395176,172.04934508457623,0.10976250971131489,0.1096965511460289,6.595856528598953e-05,0.060092071017204686
40,30000,-19.4993483263234,171.99048197312553,0.11265288128553344,0.11258330249197702,6.957879355641572e-05,0.061763882789699076
41,30000,-19.999331572007744,171.93014453863728,0.11554334972609524,0.11547005383792516,7.329588817008015e-05,0.06343583455372717
42,30000,-20.499314815447786,171.86833122832982,0.11843391505004515,0.11835680518387329,7.710986617186222e-05,0.06510792633957838
43,30000,-20.99929805664282,171.80504044917865,0.12132457727443162,0.12124355652982141,8.102074461020792e-05,0.0667801581759828
44,30000,-21.49928129559232,171.740270567706,0.12421533641630987,0.12413030787576955,8.502854054032172e-05,0.06845253009285994
45,30000,-21.999264532295808,171.6740199097672,0.12710619249274038,0.12701705922171766,8.913327102272328e-05,0.07012504212004785
46,30000,-22.49924776675262,171.606286760328,0.12999714552078825,0.1299038105676658,9.333495312244255e-05,0.07179769428669268
47,30000,-22.999230998962254,171.5370693632383,0.13288819551752484,0.13279056191361394,9.763360391090714e-05,0.07347048662274261
48,30000,-23.499214228924078,171.46636592099884,0.1357793425000262,0.13567731325956206,0.00010202924046415207,0.07514341915754406
49,30000,-23.99919745663758,171.3941745945222,0.13867058648537425,0.13856406460551018,0.0001065218798640688,0.07681649192080384
50,30000,-24.49918068210218,171.3204935028867,0.14156192749065627,0.1414508159514583,0.00011111153919796113,0.07848970494223809
1,50000,-4.440892098500626e-16,223.60679774997897,1.9860273225978186e-18,0.0,1.9860273225978186e-18,
2,50000,-0.4999899997999998,223.60400266989976,0.0022360456158137636,0.00223606797749979,2.2361686026310668e-08,0.0010000550019268093
3,50000,-0.9999799987999274,223.60008944542295,0.004472135952316011,0.00447213595499958,2.6835686450787932e-12,6.000641916283958e-08
4,50000,-1.499969996999666,223.59505801783675,0.006708271014202781,0.006708203932499369,6.708170341256092e-08,0.0009999849927132527
5,50000,-1.9999599943990878,223.58890831164595,0.008944450806170984,0.00894427190999916,1.7889617182423323e-07,0.0020000800015671015
6,50000,-2.499949990998079,223.58164023456953,0.011180675332918447,0.011180339887498949,3.354454194987727e-07,0.0030002250267579566
7,50000,-2.999939986796517,223.5732536775317,0.013416944599143853,0.013416407864998738,5.367341451151253e-07,0.0040004200743988675
8,50000,-3.499929981794284,223.56374851465438,0.015653258609546795,0.01565247584249853,7.827670482664362e-07,0.005000665150890901
9,50000,-3.99991997599126,223.55312460324754,0.01788961736882774,0.01788854381999832,1.0735488294201512e-06,0.006000960262519567
10,50000,-4.499909969387323,223.54138178379873,0.020126020881688023,0.020124611797498106,1.409084189916282e-06,0.007001305415509926
11,50000,-4.999899961982352,223.5285198799605,0.022362469152829915,0.022360679774997897,1.7893778320177134e-06,0.008001700616281329
12,50000,-5.499889953776229,223.51453869853827,0.02459896218695653,0.024596747752497688,2.214434458840814e-06,0.009002145871076651
13,50000,-5.999879944768828,223.49943802947456,0.026835499988771883,0.026832815729997475,2.6842587744074775e-06,0.010002641186229382
14,50000,-6.499869934960035,223.48321764583423,0.02907208256298089,0.029068883707497266,3.1988554836243077e-06,0.01100318656805684
