a,K,pole_real,pole_imag,zeta_exact,zeta_approx,abs_error,pct_error_%
45,50000,-21.9995592327386,222.42297877772847,0.09842837518192842,0.09838699100999075,4.138417193766397e-05,0.04204496097916098
46,50000,-22.49954919722154,222.3707053909984,0.1006663929622499,0.10062305898749054,4.333397475936307e-05,0.04304711183563853
47,50000,-22.999539160899058,222.31729515203412,0.10290445567072641,0.10285912696499033,4.5328705736077946e-05,0.04404931296767236
48,50000,-23.49952912377113,222.262747241266,0.10514256331209351,0.10509519494249012,4.736836960339552e-05,0.04505156438196443
49,50000,-23.99951908583754,222.20706082085312,0.10738071589108715,0.1073312629199899,4.9452971097249665e-05,0.046053866084677854
50,50000,-24.499509047098226,222.1502350346195,0.10961891341244434,0.1095673308974897,5.158251495464283e-05,0.04705621808214986
1,70000,-2.220446049250313e-16,264.5751311064591,8.392497208503151e-19,0.0,8.392497208503151e-19,
2,70000,-0.49999285704081675,264.57276883145624,0.0018898088658810643,0.0018898223650461359,1.349916507156941e-08,0.0007143137761329026
3,70000,-0.9999857136734436,264.56946157861944,0.0037796447289351522,0.0037796447300922718,1.1571195390747135e-12,3.061450538502626e-08
4,70000,-1.4999785698978325,264.5652093125081,0.005669507591187146,0.005669467095138408,4.0496048738306034e-08,0.0007142780583141703
5,70000,-1.9999714257139551,264.56001198755234,0.007559397454662275,0.0075592894601845435,1.0799447773112564e-07,0.0014286122456032499
6,70000,-2.4999642811217377,264.55386954805084,0.00944931432138588,0.00944911182523068,2.0249615519975228e-07,0.002142971948149284
7,70000,-2.9999571361211785,264.54678192816874,0.011339258193383816,0.011338934190276815,3.240031070002314e-07,0.0028573571698832945
8,70000,-3.4999499907121994,264.538749051932,0.01322922907268198,0.013228756555322952,4.72517359028507e-07,0.0035717679120414
9,70000,-3.9999428448947825,264.5297708332261,0.015119226961306713,0.015118578920369087,6.480409376254798e-07,0.004286204177528077
10,70000,-4.49993569866885,264.51984717578955,0.017009251861284422,0.017008401285415222,8.505758691997045e-07,0.005000665967770994
11,70000,-4.99992855203439,264.508977973209,0.018899303774642048,0.01889822365046136,1.080124180687092e-06,0.00571515328589161
12,70000,-5.499921404991319,264.49716310891387,0.02078938270340653,0.020788046015507496,1.3366878990339615e-06,0.006429666133448652
13,70000,-5.999914257539658,264.4844024561702,0.02267948864960545,0.02267786838055363,1.620269051819806e-06,0.007144204513834986
14,70000,-6.49990710967932,264.4706958780734,0.024569621615266282,0.02456769074559977,1.9308696665130964e-06,0.007858768428543298
15,70000,-6.99989996141025,264.4560432275407,0.026459781602416927,0.026457513110645904,2.2684917710229235e-06,0.008573357879929409
16,70000,-7.499892812732433,264.4404443473048,0.0283499686130856,0.02834733547569204,2.63313739356022e-06,0.009287972870434971
17,70000,-7.999885663645799,264.4238990699031,0.030240182649300694,0.030237157840738174,3.0248085625197985e-06,0.01000261340217053
18,70000,-8.499878514150346,264.4064072176702,0.032130423713091126,0.03212698020578431,3.4435073068134203e-06,0.01071727947804936
19,70000,-8.99987136424599,264.3879686027289,0.03402069180648567,0.034016802570830444,3.889235655224477e-06,0.011431971099667752
20,70000,-9.499864213932696,264.3685830269782,0.03591098693151364,0.03590662493587658,4.361995637060245e-06,0.012146688269467697
21,70000,-9.999857063210428,264.3482502820834,0.03780130909020471,0.03779644730092272,4.8617892819888264e-06,0.012861430990094047
22,70000,-10.499849912079128,264.3269701494669,0.03969165828458849,0.03968626966596885,5.388618619636687e-06,0.013576199263332327
23,70000,-10.99984276053879,264.3047424002926,0.041582034516695336,0.04157609203101499,5.942485680345e-06,0.014290993092122683
24,70000,-11.4998356085893,264.28156679545657,0.04347243778855535,0.04346591439606113,6.523392494219016e-06,0.015005812478122353
25,70000,-11.999828456230667,264.257443085574,0.045362868102199264,0.04535573676110726,7.1313410920023634e-06,0.01572065742390002
26,70000,-12.499821303462838,264.23237101096316,0.047253325459658095,0.0472455591261534,7.76633350469541e-06,0.0164355279319459
27,70000,-12.99981415028578,264.20635030163527,0.049143809862962934,0.04913538149119954,8.42837176339567e-06,0.017150424004362112
28,70000,-13.499806996699448,264.1793806772763,0.05103432131414529,0.05102520385624567,9.117457899616987e-06,0.017865345643559842
29,70000,-13.999799842703808,264.1514618472336,0.052924859815237,0.05291502622129181,9.833593945192398e-06,0.01858029285202059
30,70000,-14.499792688298761,264.12259351050034,0.054815425368269804,0.05480484858633794,1.0576781931864732e-05,0.01929526563153728
31,70000,-14.9997855334843,264.0927753556989,0.0567060179752761,0.05669467095138408,1.1347023892022134e-05,0.02001026398462585
32,70000,-15.499778378260352,264.0620070610629,0.058596637638288485,0.05858449331643022,1.2144321858267859e-05,0.020725287913674523
