Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
37,K11,0.0706088442211055,-0.124546155778894,-63.8190954773869,1.15778532457231+0i,-0.272665254497211+0.83970957487635i,-0.272665254497211-0.83970957487635i,1.15778532457231,NO
38,K11,0.0725702010050251,-0.122584798994975,-62.8140703517588,1.15337678648118+0i,-0.270559053290846+0.834568292716425i,-0.270559053290846-0.834568292716425i,1.15337678648118,NO
39,K11,0.0745315577889447,-0.120623442211055,-61.8090452261306,1.14892054174956+0i,-0.268428998764229+0.829371418901174i,-0.268428998764229-0.829371418901174i,1.14892054174956,NO
40,K11,0.0764929145728643,-0.118662085427136,-60.8040201005025,1.14441531352256+0i,-0.266274452489926+0.824117380820249i,-0.266274452489926-0.824117380820249i,1.14441531352256,NO
41,K11,0.0784542713567839,-0.116700728643216,-59.7989949748744,1.13985976945103+0i,-0.264094748293349+0.818804533417678i,-0.264094748293349-0.818804533417678i,1.13985976945103,NO
42,K11,0.0804156281407035,-0.114739371859296,-58.7939698492462,1.13525251831787+0i,-0.261889190565962+0.813431154527757i,-0.261889190565962-0.813431154527757i,1.13525251831787,NO
43,K11,0.0823769849246231,-0.112778015075377,-57.7889447236181,1.13059210639892+0i,-0.259657052445692+0.807995439822373i,-0.259657052445692-0.807995439822373i,1.13059210639892,NO
44,K11,0.0843383417085427,-0.110816658291457,-56.7839195979899,1.12587701353213+0i,-0.257397573851492+0.802495497329535i,-0.257397573851492-0.802495497329535i,1.12587701353213,NO
45,K11,0.0862996984924623,-0.108855301507538,-55.7788944723618,1.12110564886634+0i,-0.255109959357788+0.796929341479057i,-0.255109959357788-0.796929341479057i,1.12110564886634,NO
46,K11,0.0882610552763819,-0.106893944723618,-54.7738693467337,1.11627634625733+0i,-0.252793375892483+0.791294886623587i,-0.252793375892483-0.791294886623587i,1.11627634625733,NO
47,K11,0.0902224120603015,-0.104932587939698,-53.7688442211055,1.11138735927513+0i,-0.25044695024058+0.785589939979224i,-0.25044695024058-0.785589939979224i,1.11138735927513,NO
48,K11,0.0921837688442211,-0.102971231155779,-52.7638190954774,1.10643685578134+0i,-0.248069766332879+0.779812193920541i,-0.248069766332879-0.779812193920541i,1.10643685578134,NO
49,K11,0.0941451256281407,-0.101009874371859,-51.7587939698492,1.10142291203146+0i,-0.245660862297135+0.773959217557315i,-0.245660862297135-0.773959217557315i,1.10142291203146,NO
50,K11,0.0961064824120603,-0.0990485175879397,-50.7537688442211,1.09634350624995+0i,-0.243219227245581+0.768028447510086i,-0.243219227245581-0.768028447510086i,1.09634350624995,NO
51,K11,0.0980678391959799,-0.0970871608040201,-49.748743718593,1.09119651161987+0i,-0.24074379776973+0.762017177789855i,-0.24074379776973-0.762017177789855i,1.09119651161987,NO
52,K11,0.100029195979899,-0.0951258040201005,-48.7437185929648,1.08597968862132+0i,-0.238233454109659+0.755922548675033i,-0.238233454109659-0.755922548675033i,1.08597968862132,NO
