Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
118,K12,-0.569398432160804,-0.085166432160804,17.5879396984925,0.629107035168384+1.03197634762652i,0.629107035168384-1.03197634762652i,-0.658213870336765+0i,1.20861525878127,NO
119,K12,-0.574265085427136,-0.0900330854271357,18.5929648241206,0.634322569598074+1.05603197859823i,0.634322569598074-1.05603197859823i,-0.668644939196148+0i,1.23189636825651,NO
120,K12,-0.579131738693467,-0.0948997386934674,19.5979899497487,0.63930850373016+1.0793469127874i,0.63930850373016-1.0793469127874i,-0.678616807460319+0i,1.25447404161481,NO
121,K12,-0.583998391959799,-0.099766391959799,20.6030150753769,0.644084345225768+1.10198239925245i,0.644084345225768-1.10198239925245i,-0.688168490451538+0i,1.27640505014164,NO
122,K12,-0.588865045226131,-0.104633045226131,21.608040201005,0.648667144669395+1.12399187224664i,0.648667144669395-1.12399187224664i,-0.697334089338791+0i,1.297739108392,NO
123,K12,-0.593731698492462,-0.109499698492462,22.6130653266332,0.653071899052994+1.14542226427009i,0.653071899052994-1.14542226427009i,-0.706143598105987+0i,1.31852002973724,NO
124,K12,-0.598598351758794,-0.114366351758794,23.6180904522613,0.657311874760949+1.16631505023352i,0.657311874760949-1.16631505023352i,-0.714623549521897+0i,1.33878665107737,NO
125,K12,-0.603465005025126,-0.119233005025126,24.6231155778894,0.661398868736585+1.18670708683415i,0.661398868736585-1.18670708683415i,-0.722797537473165+0i,1.3585735804543,NO
126,K12,-0.608331658291457,-0.124099658291457,25.6281407035176,0.665343421614116+1.20663129398457i,0.665343421614116-1.20663129398457i,-0.73068664322823+0i,1.37791180715896,NO
127,K12,-0.613198311557789,-0.128966311557789,26.6331658291457,0.669154993122914+1.22611721301433i,0.669154993122914-1.22611721301433i,-0.738309786245825+0i,1.39682920390123,NO
128,K12,-0.618064964824121,-0.133832964824121,27.6381909547739,0.672842107565963+1.24519146771686i,0.672842107565963-1.24519146771686i,-0.745684015131918+0i,1.41535094340191,NO
129,K12,-0.622931618090452,-0.138699618090452,28.643216080402,0.67641247534418+1.26387814805426i,0.67641247534418-1.26387814805426i,-0.752824750688358+0i,1.43349984650516,NO
130,K12,-0.627798271356784,-0.143566271356784,29.6482412060301,0.67987309514524+1.28219913174236i,0.67987309514524-1.28219913174236i,-0.759745990290483+0i,1.45129667502659,NO
131,K12,-0.632664924623116,-0.148432924623116,30.6532663316583,0.683230340403224+1.30017435552995i,0.683230340403224-1.30017435552995i,-0.766460480806449+0i,1.4687603796485,NO
132,K12,-0.637531577889447,-0.153299577889447,31.6582914572864,0.686490032869818+1.31782204542728i,0.686490032869818-1.31782204542728i,-0.772979865739632+0i,1.48590831098145,NO
133,K12,-0.642398231155779,-0.158166231155779,32.6633165829146,0.689657505553675+1.33515891319766i,0.689657505553675-1.33515891319766i,-0.779314811107348+0i,1.50275640023847,NO
134,K12,-0.647264884422111,-0.163032884422111,33.6683417085427,0.692737656833829+1.35220032493863i,0.692737656833829-1.35220032493863i,-0.785475113667658+0i,1.51931931468002,NO
135,K12,-0.652131537688442,-0.167899537688442,34.6733668341708,0.695734997203298+1.3689604464298i,0.695734997203298-1.3689604464298i,-0.791469794406594+0i,1.53561059198703,NO
