n,theta_rad,group_delay_samples
1,0.18861497837845062,0.8509339414790418
1,0.18913863109616852,0.8508517445262669
1,0.18966228381388645,0.8507693383573098
1,0.19018593653160437,0.8506867231209014
1,0.1907095892493223,0.8506038989660851
1,0.1912332419670402,0.850520866042416
1,0.19175689468475812,0.8504376244995058
1,0.19228054740247605,0.8503541744875918
1,0.19280420012019395,0.8502705161569963
1,0.19332785283791187,0.8501866496583546
1,0.1938515055556298,0.8501025751428699
1,0.19437515827334773,0.8500182927618027
1,0.19489881099106562,0.8499338026669818
1,0.19542246370878355,0.8498491050103212
1,0.19594611642650148,0.8497641999441328
1,0.1964697691442194,0.8496790876211264
1,0.1969934218619373,0.8495937681942678
1,0.19751707457965523,0.8495082418168636
1,0.19804072729737315,0.8494225086425615
1,0.19856438001509105,0.8493365688250378
1,0.19908803273280898,0.849250422518935
1,0.1996116854505269,0.8491640698786682
1,0.20013533816824483,0.8490775110589652
1,0.20065899088596273,0.8489907462150654
1,0.20118264360368066,0.8489037755025777
1,0.20170629632139858,0.8488165990773098
1,0.20222994903911648,0.8487292170954106
1,0.2027536017568344,0.8486416297132564
1,0.20327725447455233,0.8485538370874792
1,0.20380090719227026,0.8484658393752227
1,0.20432455990998816,0.848377636734142
1,0.20484821262770608,0.8482892293217503
1,0.205371865345424,0.8482006172957313
1,0.2058955180631419,0.8481118008146495
1,0.20641917078085983,0.8480227800372973
1,0.20694282349857776,0.8479335551223812
1,0.2074664762162957,0.8478441262290062
1,0.20799012893401359,0.8477544935168737
1,0.2085137816517315,0.8476646571458559
1,0.20903743436944944,0.8475746172759102
1,0.20956108708716736,0.8474843740674771
1,0.21008473980488526,0.8473939276816225
1,0.2106083925226032,0.8473032782790426
1,0.21113204524032111,0.8472124260210876
1,0.211655697958039,0.847121371069619
1,0.21217935067575694,0.8470301135863849
1,0.21270300339347487,0.84693865373373
