omega,uncompensated_dB,compensated_2nd_dB
-9.033630118005313,0.9740556841708969,-36.6931913062676
-9.032687593082988,0.985558851268923,-36.63879803822073
-9.031745068160665,0.9970908389708317,-36.584473674176635
-9.030802543238343,1.008651672320027,-36.53021770781741
-9.02986001831602,1.020241376617351,-36.47602963601419
-9.028917493393697,1.0318599774226025,-36.4219089587926
-9.027974968471373,1.043507500556046,-36.36785517929876
-9.02703244354905,1.055183972099885,-36.313867803766
-9.026089918626727,1.0668894183998585,-36.2599463414811
-9.025147393704405,1.0786238660667287,-36.20609030475174
-9.024204868782082,1.0903873419778245,-36.15229920887398
-9.023262343859757,1.102179873278619,-36.0985725720999
-9.022319818937435,1.1140014873841784,-36.04490991560632
-9.021377294015112,1.125852211980893,-35.99131076346266
-9.02043476909279,1.1377320750279265,-35.937774642600246
-9.019492244170467,1.1496411047588433,-35.88430108278142
-9.018549719248144,1.1615793296831933,-35.83088961656911
-9.01760719432582,1.17354677858812,-35.77753977929661
-9.016664669403497,1.1855434805399048,-35.724251109038164
-9.015722144481174,1.1975694648856914,-35.67102314657885
-9.014779619558851,1.2096247612550448,-35.61785543538584
-9.013837094636528,1.221709399561597,-35.56474752157945
-9.012894569714204,1.2338234100047127,-35.5116989539044
-9.011952044791881,1.245966823071062,-35.45870928370205
-9.011009519869559,1.2581396695364155,-35.405778064881716
-9.010066994947236,1.2703419804672176,-35.35290485389348
-9.009124470024913,1.2825737872223164,-35.30008920970061
-9.008181945102589,1.2948351214546459,-35.247330693752424
