omega,uncompensated_dB,compensated_2nd_dB
-9.007239420180266,1.3071260151128683,-35.1946288699578
-9.006296895257943,1.3194465004432003,-35.141983304658
-9.00535437033562,1.3317966099910614,-35.08939356660082
-9.004411845413298,1.3441763766028203,-35.03685922691441
-9.003469320490975,1.3565858334275405,-34.98437985908156
-9.00252679556865,1.3690250139187532,-34.931955038914026
-9.001584270646328,1.3814939518361338,-34.87958434452772
-9.000641745724005,1.3939926812474177,-34.82726735631709
-8.999699220801682,1.4065212365300914,-34.77500365693073
-8.99875669587936,1.4190796523731952,-34.72279283124684
-8.997814170957035,1.431667963779195,-34.67063446634877
-8.996871646034712,1.4442862060656625,-34.618528151501444
-8.99592912111239,1.4569344148672716,-34.56647347812688
-8.994986596190067,1.469612626137537,-34.51447003978111
-8.994044071267744,1.4823208761506954,-34.46251743213065
-8.99310154634542,1.4950592015035935,-34.41061525292933
-8.992159021423097,1.507827639117457,-34.35876310199573
-8.991216496500774,1.520626226239941,-34.306960581189955
-8.990273971578452,1.5334550004469107,-34.25520729439152
-8.989331446656129,1.5463139996444133,-34.20350284747699
-8.988388921733804,1.55920326207058,-34.151846848297836
-8.987446396811482,1.5721228262975044,-34.100238906658994
-8.986503871889159,1.5850727312333164,-34.04867863429658
-8.985561346966836,1.5980530161240574,-33.99716564485687
-8.984618822044514,1.611063720555668,-33.9456995538749
-8.98367629712219,1.6241048844559844,-33.89427997875353
-8.982733772199866,1.6371765480967684,-33.842906538742305
-8.981791247277544,1.650278752095605,-33.79157885491726
-8.980848722355221,1.6634115374180916,-33.74029655015984
-8.979906197432898,1.676574945379774,-33.68905924913697
-8.978963672510575,1.6897690176482336,-33.63786657828076
-8.978021147588251,1.7029937962451638,-33.58671816576854
-8.977078622665928,1.7162493235483698,-33.53561364150342
-8.976136097743606,1.7295356422939954,-33.4845526370941
-8.975193572821283,1.7428527955785553,-33.43353478583581
-8.97425104789896,1.756200826861066,-33.38255972269094
-8.973308522976636,1.7695797799652162,-33.33162708426986
-8.972365998054313,1.7829896990814251,-33.28073650881231
-8.97142347313199,1.7964306287691492,-33.22988763616812
-8.970480948209667,1.8099026139589782,-33.179080107778816
-8.969538423287345,1.823405699954848,-33.12831356665923
-8.96859589836502,1.8369399324362892,-33.07758765737895
-8.967653373442698,1.8505053574605492,-33.026902026044574
-8.966710848520375,1.8641020214649822,-32.97625632028114
-8.965768323598052,1.8777299712692295,-32.92565018921457
-8.96482579867573,1.891389254077502,-32.87508328345395
-8.963883273753407,1.9050799174808803,-32.824555255073776
-8.962940748831082,1.918802009459641,-32.774065757596595
-8.96199822390876,1.932555578385502,-32.72361444597595
-8.961055698986437,1.9463406730240942,-32.67320097657864
-8.960113174064114,1.9601573425372276,-32.62282500716813
-8.959170649141791,1.974005636485297,-32.57248619688748
-8.958228124219467,1.9878856048297002,-32.5221842062425
-8.957285599297144,2.0017972979351324,-32.47191869708548
-8.956343074374821,2.0157407665721867,-32.42168933259804
-8.955400549452499,2.0297160619196966,-32.3714957772752
-8.954458024530176,2.043723235567202,-32.32133769690891
-8.953515499607853,2.0577623395174673,-32.271214758571986
-8.952572974685529,2.0718334261889786,-32.22112663060185
-8.951630449763206,2.085936548418376,-32.171072982585116
