n,theta_c_deg,guard_band_deg,resonance_cost_dB
3,47.0,25.903819567577138,-36.01661076283323
3,47.5,25.607943564441047,-35.707020587124795
3,48.00000000000001,25.31754053444183,-35.3999021253862
3,48.5,25.032452887657772,-35.09519366932805
3,49.00000000000001,24.752528884890065,-34.792835333262325
3,49.5,24.477622373939024,-34.49276897964806
3,49.99999999999999,24.207592539693326,-34.19493814842427
3,50.5,23.94230366721705,-33.89928798990789
3,50.99999999999999,23.681624917072398,-33.60576520104955
3,51.5,23.425430112164744,-33.31431796485454
3,52.0,23.173597535443054,-33.024895892789765
3,52.50000000000001,22.926009737830285,-32.73744997000936
3,53.0,22.68255335579932,-32.45193250324349
3,53.50000000000001,22.443118938046048,-32.16829707120499
3,54.0,22.20760078074571,-31.886498477378456
3,54.49999999999999,21.97589677091105,-31.606492705065357
3,55.0,21.74790823740072,-31.328236874567335
3,55.49999999999999,21.52353980915355,-31.051689202397338
3,56.0,21.302699280251634,-30.776808962415913
3,56.5,21.085297481438108,-30.503556448796516
3,57.00000000000001,20.87124815773902,-30.23189294073002
3,57.5,20.660467851859742,-29.961780668784826
3,58.00000000000001,20.452875793045784,-29.69318278284397
3,58.5,20.248393791116865,-29.426063321546412
3,58.99999999999999,20.046946135400066,-29.160387183164048
3,59.5,19.84845949830389,-28.89612009785082
3,59.99999999999999,19.65286284329104,-28.63322860120455
3,60.5,19.460087337020326,-28.371680009085942
3,61.0,19.27006626544317,-28.11144239364335
3,61.50000000000001,19.08273495365126,-27.8524845604952
3,62.0,18.898030689284,-27.5947760270255
3,62.50000000000001,18.7158926493154,-27.338287001750942
3,63.0,18.53626183005006,-27.08298836472142
3,63.49999999999999,18.35908098016757,-26.828851648918356
3,64.0,18.184294536663817,-26.575849022618225
3,64.5,18.011848563545644,-26.323953272691245
3,65.0,17.84169069314365,-26.073137788807642
3,65.5,17.673770069915555,-25.82337654852651
3,66.0,17.508037296618635,-25.574644103244356
3,66.5,17.34444438273747,-25.32691556498297
3,67.0,17.18294469505846,-25.0801665939981
3,67.5,17.023492910288976,-24.834373387192848
3,68.0,16.86604496962423,-24.58951266732145
3,68.5,16.710558035170212,-24.345561672971332
3,69.0,16.55699044813539,-24.102498149313007
3,69.5,16.405301688709617,-23.86030033960967
