theta,re,im
-2.1142661727039087,-13.239386819646004,-11.701224721070556
-2.111124501508539,-13.908760756965236,-10.200618516129413
-2.107982830313169,-14.371115217456376,-8.77902627768271
-2.1048411591177993,-14.696971471917228,-7.465126750453464
-2.10169948792243,-14.949379342667237,-6.259304070405918
-2.09855781672706,-15.178183782001042,-5.143070290630744
-2.0954161455316904,-15.418830622131058,-4.0864076466870225
-2.092274474336321,-15.692886454699362,-3.0524370505096687
-2.0891328031409513,-16.008409082409273,-2.000120892575532
-2.0859911319455815,-16.3592073445174,-0.8862001764044058
-2.0828494607502117,-16.722757610597284,0.3322213616081578
-2.079707789554842,-17.057349353759818,1.6928941827163053
-2.0765661183594726,-17.300218749619674,3.220037533220486
-2.073424447164103,-17.369984881738674,4.912062008398319
-2.070282775968733,-17.17767682908547,6.7280344448300715
-2.0671411047733637,-16.648739127129485,8.579990923530637
-2.063999433577994,-15.75153827618523,10.34083535811551
-2.060857762382624,-14.51871593134502,11.872484248981921
-2.0577160911872543,-13.045839594313266,13.065171859519554
-2.0545744199918845,-11.464251710069687,13.867547447391829
-2.051432748796515,-9.90283564039844,14.291966711737963
-2.0482910776011454,-8.458879963132373,14.39682038186288
-2.0451494064057756,-7.187805877868456,14.260347877232201
-2.0420077352104062,-6.108290371207795,13.95926935102074
-2.0388660640150365,-5.213998173673023,13.557245507750888
-2.0357243928196667,-4.485091609193187,13.101641714996154
-2.032582721624297,-3.896608072468388,12.624996619745314
-2.029441050428927,-3.4234837242117355,12.148238133163295
-2.0262993792335577,-3.0430639516553923,11.68398437382463
-2.023157708038188,-2.73604848142412,11.239258503829932
-2.020016036842818,-2.4865859131797556,10.81748684206863
-2.016874365647449,-2.2819677918136314,10.419874005595142
-2.013732694452079,-2.112174782071284,10.046307382350731
-2.0105910232567092,-1.9694035070646638,9.695932415195301
-2.0074493520613395,-1.8476323594268251,9.367508663761514
-2.0043076808659697,-1.7422476948912509,9.059624783860984
-2.0011660096706003,-1.649733772503391,8.770824998091012
-1.9980243384752305,-1.567421756698753,8.499681132571494
-1.9948826672798607,-1.4932900822586093,8.244831704622195
-1.9917409960844912,-1.425807879753107,8.005001326814424
-1.9885993248891216,-1.363813636346188,7.779008491803482
-1.9854576536937518,-1.3064221722374425,7.565766591090405
-1.982315982498382,-1.2529540352359922,7.364281075479307
