K,theta_rad,S_mag_dB
0.05,0.06661467048962809,-0.8669417894775584
0.05,0.06677175697663193,-0.8639162998454996
0.05,0.06692884346363577,-0.8609099991120166
0.05,0.06708592995063961,-0.8579227292178343
0.05,0.06724301643764345,-0.8549543336887316
0.05,0.06740010292464729,-0.8520046576169238
0.05,0.06755718941165112,-0.8490735476427752
0.05,0.06771427589865496,-0.8461608519366826
0.05,0.0678713623856588,-0.8432664201812381
0.05,0.06802844887266264,-0.8403901035536349
0.05,0.06818553535966648,-0.8375317547082723
0.05,0.06834262184667032,-0.8346912277596141
0.05,0.06849970833367416,-0.8318683782652698
0.05,0.068656794820678,-0.8290630632093119
0.05,0.06881388130768185,-0.8262751409857739
0.05,0.06897096779468569,-0.823504471382396
0.05,0.06912805428168953,-0.820750915564588
0.05,0.06928514076869337,-0.8180143360595935
0.05,0.06944222725569721,-0.8152945967408275
0.05,0.06959931374270105,-0.8125915628124978
0.05,0.06975640022970489,-0.8099051007943358
0.05,0.06991348671670872,-0.8072350785066
0.05,0.07007057320371256,-0.80458136505522
0.05,0.0702276596907164,-0.8019438308171856
0.05,0.07038474617772024,-0.7993223474260689
0.05,0.07054183266472408,-0.7967167877577641
0.05,0.07069891915172792,-0.7941270259164306
0.05,0.07085600563873176,-0.7915529372205877
0.05,0.0710130921257356,-0.7889943981893675
0.05,0.07117017861273944,-0.7864512865290259
0.05,0.07132726509974328,-0.7839234811195237
0.05,0.07148435158674712,-0.7814108620013556
0.05,0.07164143807375097,-0.7789133103625354
0.05,0.0717985245607548,-0.7764307085257001
0.05,0.07195561104775865,-0.7739629399354343
0.05,0.07211269753476249,-0.7715098891457511
0.05,0.07226978402176631,-0.7690714418076732
0.05,0.07242687050877016,-0.7666474846570531
0.05,0.072583956995774,-0.7642379055025035
0.05,0.07274104348277784,-0.7618425932134723
0.05,0.07289812996978168,-0.759461437708477
0.05,0.07305521645678552,-0.7570943299435373
0.05,0.07321230294378936,-0.7547411619006594
0.05,0.0733693894307932,-0.7524018265765446
0.05,0.07352647591779704,-0.750076217971404
0.05,0.07368356240480088,-0.7477642310779132
0.05,0.07384064889180472,-0.7454657618703321
0.05,0.07399773537880856,-0.7431807072937284
0.05,0.0741548218658124,-0.7409089652533443
0.05,0.07431190835281624,-0.7386504346041081
0.05,0.07446899483982009,-0.7364050151402878
0.05,0.07462608132682391,-0.7341726075852237
0.05,0.07478316781382775,-0.7319531135812342
0.05,0.0749402543008316,-0.7297464356796308
0.05,0.07509734078783543,-0.7275524773308655
0.05,0.07525442727483928,-0.7253711428747954
0.05,0.07541151376184312,-0.7232023375310446
0.05,0.07556860024884696,-0.7210459673895355
0.05,0.0757256867358508,-0.7189019394010725
0.05,0.07588277322285464,-0.716770161368121
0.05,0.07603985970985848,-0.7146505419355995
0.05,0.07619694619686232,-0.712542990581908
0.05,0.07635403268386616,-0.7104474176099225
0.05,0.07651111917087,-0.7083637341382425
0.05,0.07666820565787384,-0.706291852092439
0.05,0.07682529214487768,-0.704231684196458
0.05,0.07698237863188151,-0.7021831439641163
0.05,0.07713946511888535,-0.7001461456907223
0.05,0.07729655160588919,-0.6981206044447547
0.05,0.07745363809289303,-0.6961064360596818
0.05,0.07761072457989687,-0.6941035571258585
0.05,0.07776781106690071,-0.6921118849825335
0.05,0.07792489755390455,-0.690131337709944
0.05,0.0780819840409084,-0.6881618341215143
0.05,0.07823907052791224,-0.6862032937561309
0.05,0.07839615701491608,-0.6842556368705472
0.05,0.07855324350191992,-0.6823187844318148
0.05,0.07871032998892376,-0.6803926581098889
0.05,0.0788674164759276,-0.6784771802702549
0.05,0.07902450296293144,-0.6765722739666664
0.05,0.07918158944993528,-0.6746778629339725
0.05,0.07933867593693911,-0.6727938715810495
0.05,0.07949576242394295,-0.6709202249837554
0.05,0.07965284891094679,-0.6690568488780456
0.05,0.07980993539795063,-0.6672036696531175
0.05,0.07996702188495447,-0.665360614344646
0.05,0.08012410837195831,-0.6635276106281152
0.05,0.08028119485896215,-0.6617045868122124
0.05,0.08043828134596599,-0.659891471832308
0.05,0.08059536783296983,-0.658088195244019
0.05,0.08075245431997367,-0.6562946872168257
0.05,0.08090954080697751,-0.6545108785277854
0.05,0.08106662729398136,-0.6527367005553065
0.05,0.0812237137809852,-0.6509720852730001
0.05,0.08138080026798904,-0.649216965243622
0.05,0.08153788675499288,-0.6474712736130399
0.05,0.0816949732419967,-0.645734944104317
0.05,0.08185205972900055,-0.6440079110118371
0.05,0.08200914621600439,-0.6422901091955147
0.05,0.08216623270300823,-0.6405814740750669
0.05,0.08232331919001207,-0.6388819416243277
0.05,0.08248040567701591,-0.637191448365676
0.05,0.08263749216401975,-0.6355099313644942
0.05,0.08279457865102359,-0.633837328223684
0.05,0.08295166513802743,-0.6321735770782843
0.05,0.08310875162503127,-0.6305186165901036
0.05,0.08326583811203511,-0.6288723859424556
0.05,0.08342292459903895,-0.6272348248349233
0.05,0.0835800110860428,-0.6256058734781993
0.05,0.08373709757304663,-0.6239854725889992
0.05,0.08389418406005048,-0.6223735633849877
0.05,0.0840512705470543,-0.6207700875798136
0.05,0.08420835703405814,-0.6191749873781651
0.05,0.08436544352106198,-0.6175882054709146
0.05,0.08452253000806582,-0.6160096850302728
0.05,0.08467961649506967,-0.61443936970505
0.05,0.0848367029820735,-0.612877203615933
0.05,0.08499378946907735,-0.6113231313508254
0.05,0.08515087595608119,-0.6097770979602467
0.05,0.08530796244308503,-0.608239048952791
0.05,0.08546504893008887,-0.6067089302906128
0.05,0.08562213541709271,-0.6051866883849715
0.05,0.08577922190409655,-0.6036722700918482
0.05,0.08593630839110039,-0.6021656227075832
0.05,0.08609339487810423,-0.6006666939645867
0.05,0.08625048136510807,-0.5991754320270591
0.05,0.0864075678521119,-0.5976917854868118
0.05,0.08656465433911574,-0.5962157033591002
0.05,0.08672174082611958,-0.5947471350784911
0.05,0.08687882731312342,-0.5932860304948316
0.05,0.08703591380012726,-0.5918323398691954
0.05,0.0871930002871311,-0.5903860138699171
0.05,0.08735008677413494,-0.5889470035686719
0.05,0.08750717326113878,-0.5875152604365567
0.05,0.08766425974814263,-0.5860907363402692
0.05,0.08782134623514647,-0.5846733835382935
0.05,0.08797843272215031,-0.5832631546771354
0.05,0.08813551920915415,-0.5818600027876137
0.05,0.08829260569615799,-0.5804638812811634
0.05,0.08844969218316183,-0.5790747439462038
0.05,0.08860677867016567,-0.5776925449445458
0.05,0.0887638651571695,-0.5763172388078223
0.05,0.08892095164417334,-0.5749487804339671
0.05,0.08907803813117718,-0.5735871250837461
0.05,0.08923512461818102,-0.5722322283772862
0.05,0.08939221110518486,-0.5708840462906944
0.05,0.0895492975921887,-0.5695425351526743
0.05,0.08970638407919254,-0.5682076516411914
0.05,0.08986347056619638,-0.5668793527801915
0.05,0.09002055705320022,-0.5655575959363086
0.05,0.09017764354020406,-0.5642423388156694
0.05,0.0903347300272079,-0.5629335394606868
0.05,0.09049181651421175,-0.5616311562469005
0.05,0.09064890300121559,-0.5603351478798624
0.05,0.09080598948821943,-0.559045473392046
0.05,0.09096307597522327,-0.5577620921397777
0.05,0.0911201624622271,-0.5564849638002316
0.05,0.09127724894923094,-0.5552140483684307
0.05,0.09143433543623478,-0.5539493061542772
0.05,0.09159142192323862,-0.5526906977796462
0.05,0.09174850841024246,-0.5514381841754676
0.05,0.0919055948972463,-0.5501917265788752
0.05,0.09206268138425014,-0.5489512865303708
0.05,0.09221976787125398,-0.5477168258710108
0.05,0.09237685435825782,-0.5464883067396448
0.05,0.09253394084526166,-0.5452656915701518
0.05,0.0926910273322655,-0.544048943088742
0.05,0.09284811381926934,-0.5428380243112623
0.05,0.09300520030627318,-0.5416328985405292
0.05,0.09316228679327702,-0.5404335293637097
0.05,0.09331937328028087,-0.5392398806497078
0.05,0.09347645976728469,-0.5380519165465978
0.05,0.09363354625428853,-0.5368696014790677
0.05,0.09379063274129237,-0.5356929001458978
0.05,0.09394771922829621,-0.5345217775174724
0.05,0.09410480571530006,-0.5333561988332962
0.05,0.0942618922023039,-0.5321961295995626
0.05,0.09441897868930774,-0.5310415355867263
0.05,0.09457606517631158,-0.5298923828271148
0.05,0.09473315166331542,-0.5287486376125698
0.05,0.09489023815031926,-0.5276102664920802
0.05,0.0950473246373231,-0.5264772362694734
0.05,0.09520441112432694,-0.5253495140011314
0.05,0.09536149761133078,-0.5242270669937124
0.05,0.09551858409833462,-0.5231098628018883
0.05,0.09567567058533846,-0.5219978692261322
0.05,0.09583275707234229,-0.5208910543105184
0.05,0.09598984355934613,-0.5197893863405498
0.05,0.09614693004634997,-0.5186928338409702
0.05,0.09630401653335381,-0.5176013655736689
0.05,0.09646110302035765,-0.5165149505355373
