M_dB,seq,re,im,mag_dB,phase_deg
-12,144,0.14974811319009054,0.25512734154140193,-10.579201935300173,59.58900956509031
-12,145,0.14751549257891494,0.25583769460760525,-10.59415056662867,60.03233867474361
-12,146,0.1452767496731085,0.25652851041070474,-10.60919203470853,60.476335252751646
-12,147,0.14303205543617697,0.2571997361959642,-10.624325973144554,60.921005753423685
-12,148,0.14078158128610468,0.2578513207046558,-10.639552007176222,61.366356665697744
-12,149,0.13852549908226372,0.2584832141779744,-10.654869753518998,61.81239451312163
-12,150,0.13626398111229007,0.2590953683608375,-10.670278820203333,62.25912585382099
-12,151,0.13399720007892668,0.25968773650557053,-10.685778806411301,62.706557280453886
-12,152,0.13172532908683468,0.2602602733754763,-10.701369302310935,63.15469542015133
-12,153,0.12944854162937428,0.26081293524828986,-10.717049888888122,63.60354693444339
-12,154,0.12716701157535587,0.2613456799195174,-10.732820137776152,64.05311851917052
-12,155,0.12488091315576211,0.261858466705659,-10.748679611082876,64.50341690437934
-12,156,0.12259042095044283,0.2623512564473157,-10.764627861215455,64.95444885420264
-12,157,0.12029570987478302,0.2628240115121799,-10.780664430702663,65.40622116672294
-12,158,0.11799695516634526,0.26327669579790897,-10.796788852014815,65.85874067381918
-12,159,0.11569433237148775,0.2637092747348825,-10.813000647381227,66.3120142409958
-12,160,0.11338801733195825,0.2641217152888421,-10.829299328605234,66.76604876719408
-12,161,0.11107818617146593,0.26451398596341424,-10.845684396876802,67.22085118458469
-12,162,0.10876501528223158,0.2648860568025152,-10.862155342582653,67.67642845834114
-12,163,0.10644868131151712,0.265237899392639,-10.878711645113942,68.13278758639362
-12,164,0.10412936114813608,0.2655694868650269,-10.895352772671519,68.58993559916235
-12,165,0.10180723190894492,0.26588079389771985,-10.912078182068683,69.0478795592702
-12,166,0.09948247092531767,0.2661717967174914,-10.928887318531551,69.50662656123349
-12,167,0.09715525572960373,0.2664424731016638,-10.945779615496924,69.96618373113081
-12,168,0.09482576404157045,0.26669280237980486,-10.962754494407763,70.4265582262489
-12,169,0.0924941737548316,0.2669227654353063,-10.979811364506185,70.88775723470494
-12,170,0.09016066292326207,0.2671323447068438,-10.99694962262409,71.34978797504473
-12,171,0.08782540974740084,0.2673215241897182,-11.014168652971335,71.81265769581601
-12,172,0.08548859256084253,0.2674902894370774,-11.031467826921537,72.27637367511603
-12,173,0.08315038981661871,0.2676386275610197,-11.048846502795493,72.74094322011287
-12,174,0.08081098007357021,0.26776652723357813,-11.066304025642232,73.20637366653979
-12,175,0.07847054198271153,0.26787397868758545,-11.083839727017729,73.67267237816151
-12,176,0.07612925427358763,0.26796097371742006,-11.101452924761315,74.1398467462123
-12,177,0.07378729574062538,0.26802750567963246,-11.119142922769784,74.60790418880435
-12,178,0.07144484522947966,0.2680735694934528,-11.136909010769255,75.07685215030618
-12,179,0.06910208162337562,0.26809916164117875,-11.154750464084785,75.5466981006901
-12,180,0.06675918382944838,0.2681042801684442,-11.172666543407805,76.01744953484778
-12,181,0.0644163307650802,0.26808892468436846,-11.190656494561422,76.48911397187351
-12,182,0.062073701344237654,0.26805309636158614,-11.208719548263549,76.96169895431356
-12,183,0.05973147446380852,0.26799679793615755,-11.226854919888043,77.43521204738175
-12,184,0.05738982898994027,0.2679200337073599,-11.245061809223769,77.9096608381394
-12,185,0.05504894374438073,0.2678228095373587,-11.263339400231729,78.38505293463953
-12,186,0.052708997490822376,0.2677051328507604,-11.281686860800264,78.86139596503388
-12,187,0.05037016892125061,0.26756701263404525,-11.300103342498431,79.33869757664229
-12,188,0.04803263664229801,0.2674084594348811,-11.318587980327555,79.81696543498313
-12,189,0.045696579161604814,0.26722948536131774,-11.337139892471129,80.29620722276402
-12,190,0.04336217487418696,0.26703010408086253,-11.355758180042999,80.77643063883195
-12,191,0.04102960204881308,0.26681033081943656,-11.374441926834042,81.25764339708172
-12,192,0.03869903881439045,0.26657018236021174,-11.393190199057353,81.73985322532182
-12,193,0.036370663146362295,0.26630967704232933,-11.412002045091983,82.22306786409675
-12,194,0.034044652853116475,0.2660288347594996,-11.430876495225466,82.70729506546482
-12,195,0.03172118556240693,0.2657276769584822,-11.449812561395065,83.19254259173032
-12,196,0.029400438707789217,0.26540622663744873,-11.468809236927964,83.6788182141291
-12,197,0.027082589515070317,0.2650645083442263,-11.487865496280424,84.16612971146684
-12,198,0.02476781498877484,0.2647025481744229,-11.506980294776124,84.65448486870854
-12,199,0.022456291898627884,0.2643203737694348,-11.52615256834367,85.14389147551836
-12,200,0.020148196766055816,0.26391801431433537,-11.545381233253531,85.63435732474893
-12,201,0.01784370585070627,0.2634955005356465,-11.564665185854441,86.12589021087906
-12,202,0.015542995136987578,0.2630528646989923,-11.584003302309462,86.61849792839861
-12,203,0.013246240320629855,0.26259014060663477,-11.603394438331815,87.11218827013965
-12,204,0.010953616795267712,0.2621073635948927,-11.622837428920658,87.60696902555291
-12,205,0.008665299639046234,0.26160457053144315,-11.642331088096958,88.10284797892832
-12,206,0.0063814636012509,0.26108179981250595,-11.661874208639627,88.59983290755869
-12,207,0.004102283088962946,0.2605390913599116,-11.681465561822096,89.0979315798455
-12,208,0.001827932153740261,0.25997648661805256,-11.701103897149487,89.59715175334577
-12,209,-0.0004414155216739546,0.25939402855071847,-11.720787942096631,90.09750117275891
-12,210,-0.0027055866366147013,0.2587917616378148,-11.740516401847048,90.59898756785257
-12,211,-0.004964408285729471,0.2581697318719666,-11.760287959033153,91.1016186513265
-12,212,-0.00721770797218213,0.2575279867550058,-11.780101273477882,91.60540211661333
-12,213,-0.00946531362082599,0.2568665752943441,-11.799954981937958,92.11034563561533
-12,214,-0.011707053591344455,0.25618554799923005,-11.819847697849008,92.61645685637629
-12,215,-0.013942756691358374,0.25548495687689216,-11.83977801107283,93.12374340068712
-12,216,-0.01617225218949936,0.2547648554285672,-11.85974448764697,93.6322128616249
-12,217,-0.01839536982844786,0.25402529864541473,-11.879745669536934,94.14187280102365
-12,218,-0.0206119398379348,0.25326634300431733,-11.899780074391277,94.65273074687671
-12,219,-0.022821792947706587,0.25248804646356793,-11.919846195299835,95.16479419066914
-12,220,-0.025024760400451318,0.2516904684584437,-11.93994250055538,95.67807058463964
-12,221,-0.02722067396468611,0.2508736698966672,-11.960067433419034,96.19256733897123
-12,222,-0.02940936594760439,0.25003771315375517,-11.980219411889692,96.7082918189096
-12,223,-0.031590669207881575,0.24918266206825523,-12.000396828477761,97.22525134180852
-12,224,-0.03376441716843935,0.2483085819368706,-12.02059804998363,97.74345317410152
-12,225,-0.03593044382916624,0.24741553950947373,-12.040821417281071,98.26290452819927
-12,226,-0.0380885837795944,0.24650360298400908,-12.061065245106024,98.78361255931173
-12,227,-0.04023867221153132,0.24557284200128482,-12.081327821851048,99.30558436219474
-12,228,-0.04238054493164546,0.24462332763965497,-12.101607409365826,99.82882696782025
-12,229,-0.044514038374005235,0.24365513240959116,-12.121902242764131,100.3533473399699
-12,230,-0.04663898961256974,0.24266833024814538,-12.142210530237548,100.87915237175115
-12,231,-0.04875523637363045,0.24166299651330395,-12.16253045287645,101.40624888203598
-12,232,-0.05086261704820415,0.2406392079782323,-12.182860164498532,101.93464361182157
-12,233,-0.052960970704373334,0.23959704282541258,-12.203197791485415,102.46434322051238
-12,234,-0.0550501370995769,0.2385365806406729,-12.223541432627643,102.99535428212417
-12,235,-0.05712995669284644,0.23745790240710973,-12.243889158978597,103.52768328140905
-12,236,-0.05920027065699,0.23636109049890378,-12.264239013717688,104.061336609902
-12,237,-0.061260920890721396,0.23524622867502895,-12.284589012023373,104.59632056188856
-12,238,-0.06331175003073301,0.23411340207285652,-12.304937140956353,105.13264133029385
-12,239,-0.06535260146371384,0.2329626972016533,-12.325281359353513,105.67030500249344
-12,240,-0.06738331933830853,0.2317942019359753,-12.345619597733041,106.20931755604569
-12,241,-0.0694037485770199,0.23060800550895705,-12.365949758211226,106.7496848543465
-12,242,-0.07141373488805101,0.22940419850549743,-12.386269714431437,107.29141264220664
-12,243,-0.07341312477708788,0.22818287285534203,-12.406577311505785,107.83450654135237
-12,244,-0.07540176555902157,0.22694412182606255,-12.42687036597,108.37897204584993
-12,245,-0.07737950536960754,0.2256880400159349,-12.447146665752024,108.92481451745468
-12,246,-0.07934619317706355,0.22441472334671442,-12.467403970154882,109.47203918088603
-12,247,-0.08130167879360271,0.2231242690563115,-12.487640009854315,110.02065111902871
-12,248,-0.08324581288690287,0.22181677569136538,-12.507852486911808,110.57065526806204
-12,249,-0.08517844699151104,0.2204923430997186,-12.52803907480347,111.12205641251843
-12,250,-0.0870994335201802,0.21915107242279244,-12.548197418465401,111.67485918027191
-12,251,-0.08900862577514064,0.21779306608786253,-12.568325134356055,112.22906803745924
-12,252,-0.09090587795930231,0.21641842780023754,-12.588419810536188,112.78468728333442
-12,253,-0.09279104518738866,0.21502726253533927,-12.608479006766968,113.34172104505896
-12,254,-0.09466398349700149,0.2136196765306861,-12.62850025462681,113.90017327242994
-12,255,-0.09652454985961383,0.21219577727778033,-12.648481057647507,114.46004773254757
-12,256,-0.09837260219149353,0.21075567351389907,-12.668418891470266,115.02134800442509
-12,257,-0.10020799936455256,0.20929947521379097,-12.688311204022163,115.58407747354323
-12,258,-0.102030601217125,0.2078272935812776,-12.708155415713673,116.14823932635171
