branch,sign,K,re,im,mag
0,pos,3.1610536845615202,-1.859755486593775,1.9980712717368254,2.7296481965366275
0,pos,3.18106035345115,-1.8694946776767285,1.9997206930371676,2.737497616441458
0,pos,3.20106702234078,-1.8792367258533966,2.00131969779093,2.7453253367428374
0,pos,3.22107369123041,-1.8889815855782615,2.0028683905846885,2.7531315298505197
0,pos,3.2410803601200397,-1.898729212256404,2.004366872249363,2.760916365999977
0,pos,3.2610870290096696,-1.908479562219165,2.0058152398900706,2.768680013288556
0,pos,3.2810936978992995,-1.9182325927005484,2.0072135869147583,2.776422637710959
0,pos,3.3011003667889294,-1.9279882618143276,2.0085620030615496,2.784144403193997
0,pos,3.3211070356785592,-1.9377465285318327,2.0098605744248785,2.7918454716306687
0,pos,3.341113704568189,-1.9475073526603977,2.0111093834803997,2.799526002913569
0,pos,3.361120373457819,-1.9572706948224559,2.012308509108688,2.807186154967641
0,pos,3.381127042347449,-1.9670365164352401,2.013458026617761,2.814826083782295
0,pos,3.4011337112370787,-1.97680477969107,2.014558007764394,2.8224459434428684
0,pos,3.4211403801267086,-1.9865754475382489,2.015608520774309,2.8300458861615287
0,pos,3.4411470490163385,-1.9963484836624668,2.0166096303611636,2.837626062307509
0,pos,3.4611537179059684,-2.006123852468793,2.0175613977444233,2.845186620436815
0,pos,3.4811603867955982,-2.0159015190641396,2.0184638806660704,2.8527277073212995
0,pos,3.501167055685228,-2.0256814492402744,2.019317133406217,2.8602494679772392
0,pos,3.521173724574858,-2.0354636094572722,2.020121206797562,2.8677520456932926
0,pos,3.541180393464488,-2.0452479668274774,2.0208761482387487,2.8752355820579663
0,pos,3.5611870623541177,-2.05503448909991,2.0215820017066286,2.8827002169865508
0,pos,3.5811937312437476,-2.064823144645085,2.0222388077673856,2.8901460887475006
0,pos,3.6012004001333775,-2.0746139024402925,2.0228466035866064,2.8975733339883583
0,pos,3.6212070690230074,-2.0844067320552844,2.0234054229382203,2.90498208776116
0,pos,3.6412137379126372,-2.0942016036383295,2.0239152962123743,2.9123724835473523
0,pos,3.661220406802267,-2.103998487902706,2.0243762504222067,2.9197446532822604
0,pos,3.681227075691897,-2.113797356113509,2.024788309209537,2.927098727379054
0,pos,3.701233744581527,-2.123598180074876,2.0251514928494805,2.934434834752308
0,pos,3.7212404134711567,-2.133400932117526,2.0254658182539647,2.9417531028410813
0,pos,3.7412470823607866,-2.1432055850866494,2.025731298974176,2.949053657631582
0,pos,3.7612537512504165,-2.1530121123301234,2.0259479452019113,2.956336623679392
0,pos,3.7812604201400464,-2.162820487687067,2.026115763769843,2.9636021241313037
0,pos,3.8012670890296762,-2.1726306854766744,2.0262347581507036,2.970850280746723
0,pos,3.821273757919306,-2.1824426804873496,2.0263049284553643,2.978081213918671
0,pos,3.841280426808936,-2.1922564479661766,2.0263262714298276,2.9852950426944376
0,pos,3.861287095698566,-2.202071963608602,2.0262987804511177,2.9924918847958017
0,pos,3.8812937645881957,-2.211889203548436,2.0262224455220488,2.9996718566389036
0,pos,3.9013004334778256,-2.221708144348127,2.0260972532648998,3.0068350733537694
0,pos,3.9213071023674555,-2.2315287629892433,2.025923186913958,3.013981648803441
0,pos,3.9413137712570854,-2.241351036863234,2.0257002263069217,3.021111695602764
0,pos,3.9613204401467152,-2.2511749437624653,2.0254283478751995,3.0282253251368862
0,pos,3.981327109036345,-2.261000461871402,2.0251075246330106,3.0353226475793202
0,pos,4.001333777925975,-2.270827569758103,2.024737726165376,3.0424037719097754
0,pos,4.021340446815605,-2.280656246365896,2.0243189186148998,3.0494688059316126
0,pos,4.041347115705235,-2.290486471005264,2.0238510646674017,3.056517856289003
0,pos,4.061353784594864,-2.300318223345953,2.0233341235363147,3.0635510284837673
0,pos,4.0813604534844945,-2.3101514834092702,2.0227680509459134,3.07056842689193
0,pos,4.101367122374125,-2.3199862315605917,2.0221527991132726,3.077570154779962
0,pos,4.121373791263754,-2.3298224485020267,2.0214883167290165,3.084556314320731
0,pos,4.141380460153384,-2.3396601152653247,2.020774548936807,3.091527006609211
0,pos,4.161387129043014,-2.3494992132048944,2.020011437311509,3.098482331677837
0,pos,4.181393797932644,-2.359339723991044,2.019198919836123,3.1054223885116663
0,pos,4.201400466822274,-2.369181629603365,2.018336930877341,3.1123472750632155
0,pos,4.221407135711903,-2.379024912324292,2.0174254011597927,3.1192570882670694
0,pos,4.2414138046015335,-2.3888695547328247,2.016464257738921,3.126151924054233
0,pos,4.261420473491164,-2.3987155396983835,2.015453423972455,3.1330318773662036
0,pos,4.281427142380793,-2.4085628503748397,2.0143928194905003,3.139897042168845
0,pos,4.301433811270423,-2.4184114701946786,2.0132823601641356,3.1467475114659673
0,pos,4.321440480160053,-2.42826138286331,2.0121219580725977,3.153583377312726
0,pos,4.341447149049683,-2.4381125723535044,2.010911521468933,3.1604047308287466
0,pos,4.361453817939313,-2.447965022899986,2.0096509547441173,3.167211662211048
0,pos,4.381460486828942,-2.457818718994136,2.008340158389624,3.1740042607467363
0,pos,4.4014671557185725,-2.4676736453788193,2.0069790289583924,3.180782614825471
0,pos,4.421473824608203,-2.4775297870433723,2.0055674590241703,3.1875468119517625
0,pos,4.441480493497832,-2.487387129218644,2.0041053371391593,3.1942969387569824
0,pos,4.461487162387462,-2.497245657372226,2.002592547789978,3.2010330810112535
0,pos,4.481493831277092,-2.507105357203744,2.0010289713518716,3.2077553236350873
