alpha,K_lower_exact,K_upper_exact
-2.3377869674185465,-0.33110651629072674,0.0
-2.3302731829573933,-0.33486340852130336,0.0
-2.3227593984962405,-0.33862030075187977,0.0
-2.3152456140350877,-0.34237719298245617,0.0
-2.307731829573935,-0.34613408521303257,0.0
-2.300218045112782,-0.349890977443609,0.0
-2.2927042606516292,-0.3536478696741854,0.0
-2.2851904761904764,-0.3574047619047618,0.0
-2.277676691729323,-0.3611616541353384,0.0
-2.2701629072681704,-0.3649185463659148,0.0
-2.2626491228070176,-0.3686754385964912,0.0
-2.2551353383458648,-0.3724323308270676,0.0
-2.247621553884712,-0.376189223057644,0.0
-2.2401077694235587,-0.37994611528822064,0.0
-2.232593984962406,-0.38370300751879705,0.0
-2.225080200501253,-0.38745989974937345,0.0
-2.2175664160401003,-0.39121679197994985,0.0
-2.2100526315789475,-0.39497368421052625,0.0
-2.2025388471177942,-0.3987305764411029,0.0
-2.195025062656642,-0.40248746867167906,0.0
-2.1875112781954886,-0.4062443609022557,0.0
-2.179997493734336,-0.4100012531328321,0.0
-2.172483709273183,-0.4137581453634085,0.0
-2.16496992481203,-0.4175150375939849,0.0
-2.1574561403508774,-0.4212719298245613,0.0
-2.149942355889724,-0.4250288220551379,0.0
-2.1424285714285713,-0.4287857142857143,0.0
-2.1349147869674185,-0.43254260651629073,0.0
-2.1274010025062657,-0.43629949874686713,0.0
-2.119887218045113,-0.44005639097744353,0.0
-2.1123734335839597,-0.44381328320802016,0.0
-2.104859649122807,-0.44757017543859656,0.0
-2.097345864661654,-0.45132706766917297,0.0
-2.0898320802005013,-0.45508395989974937,0.0
-2.0823182957393485,-0.45884085213032577,0.0
-2.074804511278195,-0.4625977443609024,0.0
-2.067290726817043,-0.4663546365914786,0.0
-2.0597769423558896,-0.4701115288220552,0.0
-2.052263157894737,-0.4738684210526316,0.0
-2.044749373433584,-0.477625313283208,0.0
-2.037235588972431,-0.4813822055137844,0.0
-2.0297218045112784,-0.4851390977443608,0.0
-2.022208020050125,-0.48889598997493744,0.0
-2.0146942355889723,-0.49265288220551384,0.0
-2.0071804511278195,-0.49640977443609025,0.0
-1.9996666666666667,-0.5001666666666666,0.0
-1.9921528822055137,-0.5039235588972432,0.0
-1.9846390977443609,-0.5076804511278196,0.0
-1.977125313283208,-0.511437343358396,0.0
-1.969611528822055,-0.5151942355889725,0.0
-1.9620977443609022,-0.5189511278195489,0.0
-1.9545839598997494,-0.5227080200501253,0.0
-1.9470701754385964,-0.5264649122807018,0.0
-1.9395563909774436,-0.5302218045112782,0.0
-1.9320426065162908,-0.5339786967418546,0.0
-1.9245288220551378,-0.5377355889724311,0.0
-1.917015037593985,-0.5414924812030075,0.0
-1.9095012531328321,-0.5452493734335839,0.0
-1.9019874686716791,-0.5490062656641604,0.0
-1.8944736842105263,-0.5527631578947368,0.0
-1.8869598997493735,-0.5565200501253132,0.0
-1.8794461152882205,-0.5602769423558898,0.0
-1.8719323308270677,-0.5640338345864662,0.0
-1.8644185463659149,-0.5677907268170426,0.0
-1.8569047619047618,-0.5715476190476191,0.0
-1.849390977443609,-0.5753045112781955,0.0
-1.841877192982456,-0.579061403508772,0.0
-1.8343634085213032,-0.5828182957393484,0.0
-1.8268496240601504,-0.5865751879699248,0.0
-1.8193358395989974,-0.5903320802005013,0.0
-1.8118220551378446,-0.5940889724310777,0.0
-1.8043082706766918,-0.5978458646616541,0.0
-1.7967944862155387,-0.6016027568922306,0.0
-1.789280701754386,-0.605359649122807,0.0
-1.781766917293233,-0.6091165413533834,0.0
-1.77425313283208,-0.61287343358396,0.0
-1.7667393483709273,-0.6166303258145364,0.0
-1.7592255639097745,-0.6203872180451128,0.0
-1.7517117794486214,-0.6241441102756893,0.0
-1.7441979949874686,-0.6279010025062657,0.0
-1.7366842105263158,-0.6316578947368421,0.0
-1.7291704260651628,-0.6354147869674186,0.0
-1.72165664160401,-0.639171679197995,0.0
-1.7141428571428572,-0.6429285714285714,0.0
-1.7066290726817042,-0.6466854636591479,0.0
-1.6991152882205514,-0.6504423558897243,0.0
-1.6916015037593986,-0.6541992481203007,0.0
-1.6840877192982455,-0.6579561403508772,0.0
-1.6765739348370927,-0.6617130325814536,0.0
-1.6690601503759397,-0.6654699248120302,0.0
-1.6615463659147869,-0.6692268170426066,0.0
-1.654032581453634,-0.672983709273183,0.0
-1.646518796992481,-0.6767406015037595,0.0
-1.6390050125313282,-0.6804974937343359,0.0
-1.6314912280701754,-0.6842543859649123,0.0
-1.6239774436090224,-0.6880112781954888,0.0
-1.6164636591478696,-0.6917681704260652,0.0
-1.6089498746867168,-0.6955250626566416,0.0
-1.6014360902255638,-0.6992819548872181,0.0
