K,f_percent,pole_re,pole_im,dzdf_analytical_re,dzdf_analytical_im,dzdf_finitediff_re,dzdf_finitediff_im,relative_error
0.1,-10,-0.4707707075087405,0.8630615141140521,-0.005292510659498982,0.00784065767880829,-0.005292510659726801,0.007840657674784701,4.2601968991469727e-10
0.1,-10,-0.4707707075087405,-0.8630615141140521,-0.005292510659498982,-0.00784065767880829,-0.005292510659726801,-0.007840657674784701,4.2601968991469727e-10
0.1,-10,0.9415414150174809,0.0,0.0005850213189979625,-0.0,0.0005850213202762689,0.0,2.1850594223027796e-09
0.1,-5,-0.4971851741510309,0.9024194007066055,-0.005273525401114977,0.007901235188073964,-0.005273525399140944,0.007901235185570066,3.356473593520666e-10
0.1,-5,-0.4971851741510309,-0.9024194007066055,-0.005273525401114977,-0.007901235188073964,-0.005273525399140944,-0.007901235185570066,3.356473593520666e-10
0.1,-5,0.9443703483020626,0.0,0.0005470508022299479,-0.0,0.0005470508007698882,0.0,2.6689655051116854e-09
0.1,-2,-0.5129895836096177,0.926173096833615,-0.005262831717862554,0.007934166092989357,-0.005262831718755301,0.00793416609357056,1.118867193873267e-10
0.1,-2,-0.5129895836096177,-0.926173096833615,-0.005262831717862554,-0.007934166092989357,-0.005262831718755301,-0.00793416609357056,1.118867193873267e-10
0.1,-2,0.9459791672192355,0.0,0.0005256634357251033,-0.0,0.0005256634372230451,0.0,2.849621340955129e-09
0.15,-25,0.9016151942910217,0.0,0.0010158723493667878,-0.0,0.0010158723495745647,0.0,2.0453055755036772e-10
0.15,-25,-0.40080759714551095,0.7934744540423322,-0.0055079361746833925,0.0071402243731567335,-0.005507936174653505,0.007140224367319092,6.473571658579739e-10
0.15,-25,-0.40080759714551095,-0.7934744540423322,-0.0055079361746833925,-0.0071402243731567335,-0.005507936174653505,-0.007140224367319092,6.473571658579739e-10
0.15,-15,-0.45555529355960667,0.8660784470650097,-0.005443299912112286,0.007370717230318796,-0.005443299911367383,0.007370717227117574,3.587053350820029e-10
0.15,-15,-0.45555529355960667,-0.8660784470650097,-0.005443299912112286,-0.007370717230318796,-0.005443299911367383,-0.007370717227117574,3.587053350820029e-10
0.15,-15,0.9111105871192134,0.0,0.0008865998242245688,-0.0,0.0008865998252227669,0.0,1.125872274209822e-09
0.15,-10,-0.4826991260734045,0.9031751913824609,-0.0054146103393749555,0.007466061206252358,-0.005414610340648274,0.007466061207606067,2.0150696750093458e-10
