omega,uncompensated_dB,compensated_2nd_dB,filter1_dB,filter2_dB,compensated_1st_dB
-9.247583275372644,-0.9182687791766352,-52.51835943623951,-25.811438338491644,-51.60009065706287,-26.72970711766828
-9.246640750450322,-0.9130270689650792,-52.42047355537029,-25.765238097791983,-51.507446486405215,-26.67826516675706
-9.245698225528,-0.9077579298978068,-52.32304398054757,-25.719280377738173,-51.41528605064991,-26.627038307635978
-9.244755700605676,-0.9024613660729932,-52.22606560986528,-25.673562625435714,-51.32360424379229,-26.57602399150871
-9.243813175683352,-0.897137381561675,-52.12953342137672,-25.628082327984284,-51.23239603981485,-26.525219709545958
-9.24287065076103,-0.8917859804070611,-52.03344247143158,-25.582837011646248,-51.14165649102452,-26.47462299205331
-9.241928125838706,-0.8864071666237952,-51.93778789305591,-25.537824241036574,-51.051380726432114,-26.42423140766037
-9.240985600916384,-0.8810009441972734,-51.84256489437465,-25.4930416183352,-50.961563950177364,-26.374042562532473
-9.24004307599406,-0.8755673170828743,-51.74776875707267,-25.448486782517485,-50.872201439989794,-26.32405409960036
-9.239100551071738,-0.8701062892052629,-51.65339483489653,-25.40415740860562,-50.783288545691256,-26.274263697810884
-9.238158026149415,-0.8646178644576731,-51.55943855219365,-25.360051206938472,-50.694820687735984,-26.224669071396146
-9.237215501227093,-0.8591020467011513,-51.46589540248805,-25.316165922459916,-50.60679335578708,-26.175267969161066
-9.236272976304768,-0.8535588397638855,-51.372760947092495,-25.272499334024893,-50.51920210732861,-26.126058173788778
-9.235330451382444,-0.8479882474403801,-51.28003081375362,-25.229049253723133,-50.432042566313065,-26.077037501163513
-9.234387926460125,-0.8423902734908084,-51.187700695332666,-25.185813526219402,-50.34531042184195,-26.02820379971021
-9.2334454015378,-0.836764921640216,-51.0957663485173,-25.142790028109147,-50.25900142687709,-25.979554949749364
-9.232502876615476,-0.8311121955778038,-51.004223592565694,-25.09997666729231,-50.1731113969879,-25.931088862870112
-9.231560351693153,-0.8254320989562132,-50.91306830808172,-25.057371382360124,-50.0876362091255,-25.882803481316337
-9.23061782677083,-0.8197246353907194,-50.82229643581833,-25.014972141997717,-50.00257180042762,-25.834696777388437
